date,passagers,vols,passagers_km,passagers_equivalents
2010-01-01,3038392,26122,"9,832",3611287
2010-02-01,2757827,23763,"8,502",3312253
2010-03-01,3415118,28896,"10,245",4100121
2010-04-01,2923148,23834,"8,742",3478576
2010-05-01,3657781,28847,"10,373",4319885
2010-06-01,3763986,28883,"10,793",4394739
2010-07-01,4045932,29069,"12,091",4708191
2010-08-01,3821502,27766,"11,725",4444200
2010-09-01,3642624,28229,"10,568",4260894
2010-10-01,3698323,27978,"10,979",4356491
2010-11-01,3286630,27252,"9,698",3953926
2010-12-01,3225563,25106,"10,115",3841716
2011-01-01,3211993,27250,"10,136",3763637
2011-02-01,2931280,25089,"8,855",3450782
2011-03-01,3423262,29019,"10,205",4085501
2011-04-01,3610998,28603,"10,418",4223364
2011-05-01,3765752,30354,"10,746",4390062
2011-06-01,3873115,29142,"10,998",4456857
2011-07-01,4220937,29461,"12,922",4837825
2011-08-01,3906978,28468,"12,554",4496670
2011-09-01,3925932,29963,"11,654",4526036
2011-10-01,3897170,30738,"11,614",4536708
2011-11-01,3456068,29478,"10,219",4050817
2011-12-01,3677443,29557,"11,126",4296513
2012-01-01,3421792,28449,"10,716",3911724
2012-02-01,3074777,26018,"9,488",3570054
2012-03-01,3733886,30920,"11,079",4369889
2012-04-01,3894185,30607,"11,005",4465235
2012-05-01,3920696,32357,"10,768",4490047
2012-06-01,4184165,32780,"11,774",4746471
2012-07-01,4525457,32954,"13,27",5099969
2012-08-01,4188868,30963,"12,753",4717946
2012-09-01,4121375,32489,"11,818",4654145
2012-10-01,3969773,32801,"11,278",4527505
2012-11-01,3591205,30131,"10,43",4120883
2012-12-01,3660177,30704,"11,037",4217219
2013-01-01,3330135,28332,"10,604",3808572
2013-02-01,3185416,27660,"9,532",3638886
2013-03-01,3782664,29926,"11,257",4313450
2013-04-01,3940845,31006,"11,231",4470115
2013-05-01,4024341,31392,"11,261",4552124
2013-06-01,4170142,30593,"11,879",4698957
2013-07-01,4504202,32011,"13,313",5059528
2013-08-01,4282416,29998,"13,315",4809397
2013-09-01,4100303,31485,"11,765",4624292
2013-10-01,4073546,30933,"11,682",4623053
2013-11-01,3620641,28814,"10,666",4177905
2013-12-01,3805557,29076,"11,529",4363765
2014-01-01,3451258,27057,"11,054",3930444
2014-02-01,3252989,26138,"9,905",3752064
2014-03-01,3839645,29804,"11,391",4432797
2014-04-01,3995512,29488,"11,502",4535471
2014-05-01,3974823,30274,"11,37",4519244
2014-06-01,4320709,30520,"12,196",4839775
2014-07-01,4524577,30894,"13,681",5059755
2014-08-01,4384898,29473,"13,793",4887216
2014-09-01,2797408,22135,"8,157",3097042
2014-10-01,4132446,30235,"11,921",4664613
2014-11-01,3612720,27506,"10,612",4148900
2014-12-01,3849848,28271,"11,436",4387918
2015-01-01,3498336,26477,"11,02",3940673
2015-02-01,3278260,24926,"9,88",3714543
2015-03-01,3814700,28629,"11,367",4304748
2015-04-01,3821715,27402,"11,423",4255448
2015-05-01,4030312,29393,"11,615",4467290
2015-06-01,4228957,29907,"12,319",4685721
2015-07-01,4507639,30156,"13,938",4951470
2015-08-01,4383076,29002,"14,109",4834277
2015-09-01,4127892,29608,"12,166",4552475
2015-10-01,4123563,29452,"12,173",4585709
2015-11-01,3413702,26191,"10,508",3867086
2015-12-01,3575907,26759,"11,117",4062972
2016-01-01,3403249,25098,"11,116",3837502
